NodeID,PacketNo,RSSI,PacketNo,AbsTime
0,-26,868000000,44670,0699208
0,-26,868000000,44416,0699237
0,-26,868000000,44673,0699296
0,-26,868000000,44419,0699326
0,-26,868000000,44676,0699385
0,-26,868000000,44422,0699414
0,-26,868000000,44679,0699473
0,-26,868000000,44425,0699503
0,-26,868000000,44682,0699562
0,-26,868000000,44428,0699592
0,-26,868000000,44685,0699651
0,-26,868000000,44431,0699680
0,-26,868000000,44688,0699739
0,-26,868000000,44434,0699769
0,-26,868000000,44691,0699828
0,-26,868000000,44437,0699857
0,-26,868000000,44694,0699916
0,-26,868000000,44440,0699946
0,-26,868000000,44697,0700005
0,-26,868000000,44443,0700035
0,-26,868000000,44700,0700094
0,-26,868000000,44446,0700123
0,-26,868000000,44703,0700182
0,-26,868000000,44449,0700212
0,-27,868000000,44706,0700271
0,-27,868000000,44452,0700300
0,-26,868000000,44709,0700360
0,-26,868000000,44455,0700389
0,-26,868000000,44712,0700448
0,-26,868000000,44458,0700478
0,-26,868000000,44715,0700537
0,-26,868000000,44461,0700566
0,-26,868000000,44718,0700625
0,-26,868000000,44464,0700655
0,-26,868000000,44721,0700714
0,-26,868000000,44467,0700744
0,-26,868000000,44724,0700803
0,-26,868000000,44470,0700832
0,-26,868000000,44727,0700891
0,-26,868000000,44473,0700921
0,-26,868000000,44730,0700980
0,-26,868000000,44476,0701009
0,-26,868000000,44733,0701069
0,-26,868000000,44479,0701098
0,-26,868000000,44736,0701157
0,-26,868000000,44482,0701187
0,-26,868000000,44739,0701246
0,-26,868000000,44485,0701275
0,-26,868000000,44742,0701334
0,-26,868000000,44488,0701364
0,-26,868000000,44745,0701423
0,-26,868000000,44491,0701453
0,-26,868000000,44748,0701512
0,-26,868000000,44494,0701541
0,-26,868000000,44751,0701600
0,-26,868000000,44497,0701630
0,-27,868000000,44754,0701689
0,-26,868000000,44500,0701718
0,-26,868000000,44757,0701777
0,-26,868000000,44503,0701807
0,-27,868000000,44760,0701866
0,-26,868000000,44506,0701896
0,-26,868000000,44763,0701955
0,-26,868000000,44509,0701984
0,-26,868000000,44766,0702043
0,-26,868000000,44512,0702073
0,-26,868000000,44769,0702132
0,-26,868000000,44515,0702161
0,-26,868000000,44772,0702221
0,-26,868000000,44518,0702250
0,-26,868000000,44775,0702309
0,-26,868000000,44521,0702339
0,-26,868000000,44778,0702398
0,-26,868000000,44524,0702427
0,-26,868000000,44781,0702486
0,-26,868000000,44527,0702516
0,-26,868000000,44784,0702575
0,-26,868000000,44530,0702605
0,-26,868000000,44787,0702664
0,-26,868000000,44533,0702693
0,-26,868000000,44790,0702752
0,-26,868000000,44536,0702782
0,-26,868000000,44793,0702841
0,-26,868000000,44539,0702870
0,-26,868000000,44796,0702929
0,-26,868000000,44542,0702959
0,-26,868000000,44799,0703018
0,-26,868000000,44545,0703048
0,-26,868000000,44802,0703107
0,-26,868000000,44548,0703136
0,-26,868000000,44805,0703195
0,-26,868000000,44551,0703225
0,-26,868000000,44808,0703284
0,-26,868000000,44554,0703313
0,-26,868000000,44811,0703373
0,-26,868000000,44557,0703402
0,-26,868000000,44814,0703461
0,-26,868000000,44560,0703491
0,-26,868000000,44817,0703550
0,-26,868000000,44563,0703579
0,-26,868000000,44820,0703638
0,-26,868000000,44566,0703668
0,-26,868000000,44823,0703727
0,-26,868000000,44569,0703757
0,-26,868000000,44826,0703816
0,-26,868000000,44572,0703845
0,-26,868000000,44829,0703904
0,-26,868000000,44575,0703934
0,-26,868000000,44832,0703993
0,-26,868000000,44578,0704022
0,-26,868000000,44835,0704082
0,-26,868000000,44581,0704111
0,-26,868000000,44838,0704170
0,-26,868000000,44584,0704200
0,-26,868000000,44841,0704259
0,-26,868000000,44587,0704288
0,-26,868000000,44844,0704347
0,-26,868000000,44590,0704377
0,-26,868000000,44847,0704436
0,-26,868000000,44593,0704466
0,-26,868000000,44850,0704525
0,-26,868000000,44596,0704554
0,-26,868000000,44853,0704613
0,-26,868000000,44599,0704643
0,-26,868000000,44856,0704702
0,-26,868000000,44602,0704731
0,-26,868000000,44859,0704791
0,-26,868000000,44605,0704820
0,-26,868000000,44862,0704879
0,-26,868000000,44608,0704909
0,-26,868000000,44865,0704968
0,-26,868000000,44611,0704997
0,-26,868000000,44868,0705056
0,-26,868000000,44614,0705086
0,-26,868000000,44871,0705145
0,-26,868000000,44617,0705175
0,-26,868000000,44874,0705234
0,-26,868000000,44620,0705263
0,-26,868000000,44877,0705322
0,-26,868000000,44623,0705352
0,-26,868000000,44880,0705411
0,-26,868000000,44625,0705440
0,-26,868000000,44882,0705499
0,-26,868000000,44628,0705529
0,-26,868000000,44885,0705588
0,-26,868000000,44631,0705618
0,-26,868000000,44888,0705677
0,-26,868000000,44634,0705706
0,-26,868000000,44891,0705765
0,-26,868000000,44637,0705795
0,-26,868000000,44894,0705854
0,-26,868000000,44640,0705883
0,-26,868000000,44897,0705943
0,-26,868000000,44643,0705972
0,-26,868000000,44900,0706031
0,-26,868000000,44646,0706061
0,-26,868000000,44903,0706120
0,-26,868000000,44649,0706149
0,-26,868000000,44906,0706208
0,-26,868000000,44652,0706238
0,-26,868000000,44909,0706297
0,-26,868000000,44655,0706327
0,-26,868000000,44912,0706386
0,-26,868000000,44658,0706415
0,-26,868000000,44915,0706474
0,-26,868000000,44661,0706504
0,-26,868000000,44918,0706563
0,-26,868000000,44664,0706592
0,-26,868000000,44921,0706652
0,-26,868000000,44667,0706681
0,-26,868000000,44924,0706740
0,-26,868000000,44670,0706770
0,-26,868000000,44927,0706829
0,-26,868000000,44673,0706858
0,-26,868000000,44930,0706917
0,-26,868000000,44676,0706947
0,-26,868000000,44933,0707006
0,-25,868000000,44679,0707035
0,-25,868000000,44936,0707095
0,-24,868000000,44682,0707124
0,-24,868000000,44939,0707183
0,-24,868000000,44685,0707213
0,-22,868000000,44942,0707272
0,-22,868000000,44688,0707301
0,-21,868000000,44945,0707360
0,-21,868000000,44691,0707390
0,-21,868000000,44948,0707449
0,-21,868000000,44694,0707479
0,-21,868000000,44951,0707538
0,-21,868000000,44697,0707567
0,-23,868000000,44954,0707626
0,-24,868000000,44700,0707656
0,-24,868000000,44957,0707715
0,-25,868000000,44703,0707744
0,-27,868000000,44960,0707804
0,-28,868000000,44706,0707833
0,-28,868000000,44963,0707892
0,-27,868000000,44709,0707922
0,-28,868000000,44966,0707981
0,-28,868000000,44712,0708010
0,-28,868000000,44969,0708069
0,-28,868000000,44715,0708099
0,-28,868000000,44972,0708158
0,-28,868000000,44718,0708188
0,-29,868000000,44975,0708247
0,-29,868000000,44721,0708276
0,-30,868000000,44978,0708335
0,-30,868000000,44724,0708365
0,-31,868000000,44981,0708424
0,-31,868000000,44727,0708453
0,-31,868000000,44984,0708512
0,-31,868000000,44730,0708542
0,-31,868000000,44987,0708601
0,-31,868000000,44733,0708631
0,-31,868000000,44990,0708690
0,-31,868000000,44736,0708719
0,-30,868000000,44993,0708778
0,-30,868000000,44739,0708808
0,-30,868000000,44996,0708867
0,-30,868000000,44742,0708896
0,-30,868000000,44999,0708956
0,-30,868000000,44745,0708985
0,-30,868000000,45002,0709044
0,-30,868000000,44748,0709074
0,-30,868000000,45005,0709133
0,-30,868000000,44751,0709162
0,-30,868000000,45008,0709221
0,-30,868000000,44754,0709251
0,-30,868000000,45011,0709310
0,-30,868000000,44757,0709340
0,-30,868000000,45014,0709399
0,-30,868000000,44760,0709428
0,-30,868000000,45017,0709487
0,-30,868000000,44763,0709517
0,-30,868000000,45020,0709576
0,-31,868000000,44766,0709605
0,-30,868000000,45023,0709664
0,-31,868000000,44769,0709694
0,-33,868000000,45026,0709753
0,-33,868000000,44772,0709783
0,-33,868000000,45029,0709842
0,-33,868000000,44775,0709871
0,-31,868000000,45032,0709930
0,-30,868000000,44778,0709960
0,-27,868000000,45035,0710019
0,-25,868000000,44781,0710049
0,-24,868000000,45038,0710108
0,-24,868000000,44784,0710137
0,-22,868000000,45041,0710196
0,-20,868000000,44787,0710226
0,-20,868000000,45044,0710285
0,-20,868000000,44790,0710314
0,-21,868000000,45047,0710373
0,-21,868000000,44793,0710403
0,-21,868000000,45050,0710462
0,-21,868000000,44796,0710492
0,-22,868000000,45053,0710551
0,-22,868000000,44799,0710580
0,-22,868000000,45056,0710639
0,-22,868000000,44802,0710669
0,-24,868000000,45059,0710728
0,-25,868000000,44805,0710757
0,-29,868000000,45062,0710816
0,-31,868000000,44808,0710846
0,-32,868000000,45065,0710905
0,-31,868000000,44811,0710935
0,-30,868000000,45068,0710994
0,-30,868000000,44814,0711023
0,-30,868000000,45071,0711082
0,-31,868000000,44817,0711112
0,-32,868000000,45074,0711171
0,-32,868000000,44820,0711201
0,-34,868000000,45077,0711260
0,-33,868000000,44823,0711289
0,-33,868000000,45080,0711348
0,-34,868000000,44826,0711378
0,-34,868000000,45083,0711437
0,-34,868000000,44829,0711466
0,-34,868000000,45086,0711525
0,-34,868000000,44832,0711555
0,-34,868000000,45089,0711614
0,-34,868000000,44835,0711644
0,-34,868000000,45092,0711703
0,-34,868000000,44838,0711732
0,-35,868000000,45095,0711791
0,-35,868000000,44841,0711821
0,-35,868000000,45098,0711880
0,-35,868000000,44844,0711909
0,-36,868000000,45101,0711969
0,-36,868000000,44847,0711998
0,-36,868000000,45104,0712057
0,-36,868000000,44850,0712087
0,-36,868000000,45107,0712146
0,-36,868000000,44853,0712175
0,-36,868000000,45110,0712234
0,-36,868000000,44856,0712264
0,-36,868000000,45113,0712323
0,-36,868000000,44859,0712353
0,-36,868000000,45116,0712412
0,-36,868000000,44862,0712441
0,-36,868000000,45119,0712500
0,-36,868000000,44865,0712530
0,-36,868000000,45122,0712589
0,-36,868000000,44868,0712618
0,-36,868000000,45125,0712677
0,-36,868000000,44871,0712707
0,-36,868000000,45128,0712766
0,-36,868000000,44874,0712796
0,-36,868000000,45131,0712855
0,-36,868000000,44877,0712884
0,-36,868000000,45134,0712943
0,-36,868000000,44880,0712973
0,-36,868000000,45136,0713032
0,-36,868000000,44882,0713062
0,-36,868000000,45139,0713121
0,-36,868000000,44885,0713150
0,-36,868000000,45142,0713209
0,-36,868000000,44888,0713239
0,-37,868000000,45145,0713298
0,-37,868000000,44891,0713327
0,-36,868000000,45148,0713386
0,-36,868000000,44894,0713416
0,-36,868000000,45151,0713475
0,-36,868000000,44897,0713505
0,-36,868000000,45154,0713564
0,-36,868000000,44900,0713593
0,-36,868000000,45157,0713652
0,-36,868000000,44903,0713682
0,-36,868000000,45160,0713741
0,-36,868000000,44906,0713770
0,-36,868000000,45163,0713830
0,-36,868000000,44909,0713859
0,-36,868000000,45166,0713918
0,-36,868000000,44912,0713948
0,-36,868000000,45169,0714007
0,-36,868000000,44915,0714036
0,-36,868000000,45172,0714095
0,-36,868000000,44918,0714125
0,-36,868000000,45175,0714184
0,-36,868000000,44921,0714213
0,-36,868000000,45178,0714273
0,-36,868000000,44924,0714302
0,-36,868000000,45181,0714361
0,-36,868000000,44927,0714391
0,-36,868000000,45184,0714450
0,-36,868000000,44930,0714479
0,-36,868000000,45187,0714538
0,-36,868000000,44933,0714568
0,-36,868000000,45190,0714627
0,-36,868000000,44936,0714657
0,-36,868000000,45193,0714716
0,-36,868000000,44939,0714745
0,-36,868000000,45196,0714804
0,-36,868000000,44942,0714834
0,-36,868000000,45199,0714893
0,-36,868000000,44945,0714922
0,-36,868000000,45202,0714982
0,-36,868000000,44948,0715011
0,-36,868000000,45205,0715070
0,-36,868000000,44951,0715100
0,-36,868000000,45208,0715159
0,-36,868000000,44954,0715188
0,-36,868000000,45211,0715247
0,-36,868000000,44957,0715277
0,-36,868000000,45214,0715336
0,-36,868000000,44960,0715366
0,-36,868000000,45217,0715425
0,-36,868000000,44963,0715454
0,-36,868000000,45220,0715513
0,-35,868000000,44966,0715543
0,-33,868000000,45223,0715602
0,-32,868000000,44969,0715631
0,-31,868000000,45226,0715690
0,-31,868000000,44972,0715720
0,-31,868000000,45229,0715779
0,-32,868000000,44975,0715809
0,-34,868000000,45232,0715868
0,-36,868000000,44978,0715897
0,-43,868000000,45235,0715956
0,-48,868000000,44981,0715986
0,-46,868000000,45238,0716045
0,-45,868000000,44984,0716074
0,-45,868000000,45241,0716134
0,-44,868000000,44987,0716163
0,-40,868000000,45244,0716222
0,-37,868000000,44990,0716252
0,-33,868000000,45247,0716311
0,-32,868000000,44993,0716340
0,-32,868000000,45250,0716399
0,-32,868000000,44996,0716429
0,-32,868000000,45253,0716488
0,-33,868000000,44999,0716518
0,-36,868000000,45256,0716577
0,-39,868000000,45002,0716606
