NodeID,PacketNo,Iteration,RSSI,AbsTime,RecordedTime
0,1,190,-68,0000014,00000000
0,2,190,-68,0000043,00000000
0,3,190,-68,0000073,00000000
0,4,190,-68,0000103,00000000
0,5,190,-68,0000132,00000000
0,6,190,-68,0000162,00000000
0,7,190,-68,0000191,00000000
0,8,190,-69,0000221,00000000
0,9,190,-69,0000250,00000000
0,0,191,-72,0000589,00000000
0,1,191,-71,0000618,00000000
0,2,191,-70,0000648,00000000
0,3,191,-70,0000678,00000000
0,4,191,-71,0000707,00000000
0,5,191,-71,0000737,00000000
0,6,191,-70,0000766,00000000
0,7,191,-70,0000796,00000000
0,8,191,-71,0000825,00000000
0,9,191,-70,0000855,00000000
0,0,192,-70,0001193,00000000
0,1,192,-70,0001223,00000000
0,2,192,-70,0001253,00000000
0,3,192,-69,0001282,00000000
0,4,192,-70,0001312,00000000
0,5,192,-70,0001341,00000000
0,6,192,-70,0001371,00000000
0,7,192,-70,0001400,00000000
0,8,192,-70,0001430,00000000
0,9,192,-70,0001459,00000000
0,0,193,-71,0001798,00000000
0,1,193,-71,0001828,00000000
0,2,193,-70,0001857,00000000
0,3,193,-70,0001887,00000000
0,4,193,-71,0001916,00000000
0,5,193,-70,0001946,00000000
0,6,193,-70,0001975,00000000
0,7,193,-70,0002005,00000000
0,8,193,-70,0002034,00000000
0,9,193,-70,0002064,00000000
0,0,194,-70,0002402,00000000
0,1,194,-70,0002432,00000000
0,2,194,-70,0002462,00000000
0,3,194,-70,0002491,00000000
0,4,194,-69,0002521,00000000
0,5,194,-69,0002550,00000000
0,6,194,-69,0002580,00000000
0,7,194,-68,0002609,00000000
0,8,194,-68,0002639,00000000
0,9,194,-68,0002668,00000000
0,0,195,-67,0003007,00000000
0,1,195,-67,0003037,00000000
0,2,195,-67,0003066,00000000
0,3,195,-67,0003096,00000000
0,4,195,-66,0003125,00000000
0,5,195,-67,0003155,00000000
0,6,195,-67,0003184,00000000
0,7,195,-67,0003214,00000000
0,8,195,-68,0003243,00000000
0,9,195,-69,0003273,00000000
0,0,196,-67,0003612,00000000
0,1,196,-66,0003641,00000000
0,2,196,-66,0003671,00000000
0,3,196,-66,0003700,00000000
0,4,196,-66,0003730,00000000
0,5,196,-66,0003759,00000000
0,6,196,-66,0003789,00000000
0,7,196,-66,0003818,00000000
0,8,196,-66,0003848,00000000
0,9,196,-66,0003878,00000000
0,0,197,-63,0004216,00000000
0,1,197,-63,0004246,00000000
0,2,197,-63,0004275,00000000
0,3,197,-62,0004305,00000000
0,4,197,-63,0004334,00000000
0,5,197,-63,0004364,00000000
0,6,197,-64,0004393,00000000
0,7,197,-65,0004423,00000000
0,8,197,-66,0004453,00000000
0,9,197,-66,0004482,00000000
0,0,198,-61,0004821,00000000
0,1,198,-60,0004850,00000000
0,2,198,-60,0004880,00000000
0,3,198,-60,0004909,00000000
0,4,198,-60,0004939,00000000
0,5,198,-60,0004968,00000000
0,6,198,-60,0004998,00000000
0,7,198,-60,0005028,00000000
0,8,198,-60,0005057,00000000
0,9,198,-60,0005087,00000000
0,0,199,-60,0005425,00000000
0,1,199,-61,0005455,00000000
0,2,199,-61,0005484,00000000
0,3,199,-61,0005514,00000000
0,4,199,-61,0005543,00000000
0,5,199,-61,0005573,00000000
0,6,199,-60,0005603,00000000
0,7,199,-61,0005632,00000000
0,8,199,-60,0005662,00000000
0,9,199,-60,0005691,00000000
0,0,200,-60,0006030,00000000
0,1,200,-60,0006059,00000000
0,2,200,-60,0006089,00000000
0,3,200,-60,0006118,00000000
0,4,200,-60,0006148,00000000
0,5,200,-60,0006178,00000000
0,6,200,-60,0006207,00000000
0,7,200,-60,0006237,00000000
0,8,200,-60,0006266,00000000
0,9,200,-60,0006296,00000000
0,0,201,-60,0006634,00000000
0,1,201,-60,0006664,00000000
0,2,201,-60,0006693,00000000
0,3,201,-60,0006723,00000000
0,4,201,-60,0006753,00000000
0,5,201,-61,0006782,00000000
0,6,201,-60,0006812,00000000
0,7,201,-60,0006841,00000000
0,8,201,-61,0006871,00000000
0,9,201,-61,0006900,00000000
0,0,202,-60,0007239,00000000
0,1,202,-60,0007268,00000000
0,2,202,-60,0007298,00000000
0,3,202,-60,0007327,00000000
0,4,202,-61,0007357,00000000
0,5,202,-62,0007387,00000000
0,6,202,-64,0007416,00000000
0,7,202,-66,0007446,00000000
0,8,202,-67,0007475,00000000
0,9,202,-68,0007505,00000000
0,0,203,-68,0007843,00000000
0,1,203,-68,0007873,00000000
0,2,203,-68,0007902,00000000
0,3,203,-68,0007932,00000000
0,4,203,-69,0007962,00000000
0,5,203,-69,0007991,00000000
0,6,203,-69,0008021,00000000
0,7,203,-70,0008050,00000000
0,8,203,-70,0008080,00000000
0,9,203,-70,0008109,00000000
0,0,204,-77,0008448,00000000
0,1,204,-76,0008477,00000000
0,2,204,-75,0008507,00000000
0,3,204,-74,0008537,00000000
0,4,204,-73,0008566,00000000
0,5,204,-73,0008596,00000000
0,6,204,-73,0008625,00000000
0,7,204,-73,0008655,00000000
0,8,204,-73,0008684,00000000
0,9,204,-73,0008714,00000000
0,0,205,-73,0009052,00000000
0,1,205,-73,0009082,00000000
0,2,205,-73,0009112,00000000
0,3,205,-73,0009141,00000000
0,4,205,-73,0009171,00000000
0,5,205,-72,0009200,00000000
0,6,205,-71,0009230,00000000
0,7,205,-70,0009259,00000000
0,8,205,-70,0009289,00000000
0,9,205,-70,0009318,00000000
0,0,206,-70,0009657,00000000
0,1,206,-70,0009687,00000000
0,2,206,-71,0009716,00000000
0,3,206,-71,0009746,00000000
0,4,206,-71,0009775,00000000
0,5,206,-70,0009805,00000000
0,6,206,-70,0009834,00000000
0,7,206,-70,0009864,00000000
0,8,206,-71,0009893,00000000
0,9,206,-71,0009923,00000000
0,0,207,-76,0010262,00000000
0,1,207,-77,0010291,00000000
0,2,207,-77,0010321,00000000
0,3,207,-77,0010350,00000000
0,4,207,-76,0010380,00000000
0,5,207,-76,0010409,00000000
0,6,207,-76,0010439,00000000
0,7,207,-76,0010468,00000000
0,8,207,-76,0010498,00000000
