NodeID,PacketNo,Iteration,RSSI,AbsTime,RecordedTime
0,0,25,-21,0509682,00000000
0,1,25,-21,0509712,00000000
0,2,25,-21,0509742,00000000
0,3,25,-21,0509771,00000000
0,4,25,-21,0509801,00000000
0,5,25,-21,0509830,00000000
0,6,25,-21,0509860,00000000
0,7,25,-21,0509889,00000000
0,8,25,-21,0509919,00000000
0,9,25,-21,0509948,00000000
0,0,26,-21,0510287,00000000
0,1,26,-21,0510317,00000000
0,2,26,-21,0510346,00000000
0,3,26,-21,0510376,00000000
0,4,26,-21,0510405,00000000
0,5,26,-21,0510435,00000000
0,6,26,-21,0510464,00000000
0,7,26,-21,0510494,00000000
0,8,26,-21,0510523,00000000
0,9,26,-21,0510553,00000000
0,0,27,-21,0510892,00000000
0,1,27,-20,0510921,00000000
0,2,27,-21,0510951,00000000
0,3,27,-21,0510980,00000000
0,4,27,-21,0511010,00000000
0,5,27,-21,0511039,00000000
0,6,27,-21,0511069,00000000
0,7,27,-21,0511098,00000000
0,8,27,-21,0511128,00000000
0,9,27,-21,0511158,00000000
0,0,28,-21,0511496,00000000
0,1,28,-21,0511526,00000000
0,2,28,-22,0511555,00000000
0,3,28,-23,0511585,00000000
0,4,28,-24,0511614,00000000
0,5,28,-25,0511644,00000000
0,6,28,-26,0511673,00000000
0,7,28,-26,0511703,00000000
0,8,28,-27,0511733,00000000
0,9,28,-27,0511762,00000000
0,0,29,-26,0512101,00000000
0,1,29,-26,0512130,00000000
0,2,29,-26,0512160,00000000
0,3,29,-27,0512189,00000000
0,4,29,-27,0512219,00000000
0,5,29,-28,0512248,00000000
0,6,29,-28,0512278,00000000
0,7,29,-29,0512308,00000000
0,8,29,-30,0512337,00000000
0,9,29,-30,0512367,00000000
0,0,30,-27,0512705,00000000
0,1,30,-26,0512735,00000000
0,2,30,-24,0512764,00000000
0,3,30,-23,0512794,00000000
0,4,30,-21,0512823,00000000
0,5,30,-21,0512853,00000000
0,6,30,-21,0512883,00000000
0,7,30,-20,0512912,00000000
0,8,30,-20,0512942,00000000
0,9,30,-20,0512971,00000000
0,0,31,-20,0513310,00000000
0,1,31,-20,0513339,00000000
0,2,31,-20,0513369,00000000
0,3,31,-20,0513398,00000000
0,4,31,-20,0513428,00000000
0,5,31,-20,0513458,00000000
0,6,31,-20,0513487,00000000
0,7,31,-20,0513517,00000000
0,8,31,-20,0513546,00000000
0,9,31,-20,0513576,00000000
0,0,32,-23,0513914,00000000
0,1,32,-25,0513944,00000000
0,2,32,-27,0513973,00000000
0,3,32,-30,0514003,00000000
0,4,32,-31,0514033,00000000
0,5,32,-32,0514062,00000000
0,6,32,-33,0514092,00000000
0,7,32,-36,0514121,00000000
0,8,32,-36,0514151,00000000
0,9,32,-37,0514180,00000000
0,0,33,-23,0514519,00000000
0,1,33,-24,0514548,00000000
0,2,33,-24,0514578,00000000
0,3,33,-25,0514608,00000000
0,4,33,-24,0514637,00000000
0,5,33,-25,0514667,00000000
0,6,33,-30,0514696,00000000
0,7,33,-31,0514726,00000000
0,8,33,-30,0514755,00000000
0,9,33,-29,0514785,00000000
0,0,34,-30,0515123,00000000
0,1,34,-30,0515153,00000000
0,2,34,-32,0515183,00000000
0,3,34,-33,0515212,00000000
0,4,34,-32,0515242,00000000
0,5,34,-32,0515271,00000000
0,6,34,-32,0515301,00000000
0,7,34,-31,0515330,00000000
0,8,34,-31,0515360,00000000
0,9,34,-31,0515389,00000000
0,0,35,-20,0515728,00000000
0,1,35,-21,0515757,00000000
0,2,35,-20,0515787,00000000
0,3,35,-20,0515817,00000000
0,4,35,-20,0515846,00000000
0,5,35,-20,0515876,00000000
0,6,35,-20,0515905,00000000
0,7,35,-20,0515935,00000000
0,8,35,-20,0515964,00000000
0,9,35,-20,0515994,00000000
0,0,36,-20,0516332,00000000
0,1,36,-20,0516362,00000000
0,2,36,-20,0516392,00000000
0,3,36,-20,0516421,00000000
0,4,36,-20,0516451,00000000
0,5,36,-20,0516480,00000000
0,6,36,-20,0516510,00000000
0,7,36,-20,0516539,00000000
0,8,36,-20,0516569,00000000
0,9,36,-20,0516598,00000000
0,0,37,-20,0516937,00000000
0,1,37,-20,0516967,00000000
0,2,37,-20,0516996,00000000
0,3,37,-21,0517026,00000000
0,4,37,-22,0517055,00000000
0,5,37,-25,0517085,00000000
0,6,37,-29,0517114,00000000
0,7,37,-32,0517144,00000000
0,8,37,-39,0517173,00000000
0,9,37,-35,0517203,00000000
0,0,38,-34,0517542,00000000
0,1,38,-32,0517571,00000000
0,2,38,-32,0517601,00000000
0,3,38,-32,0517630,00000000
0,4,38,-33,0517660,00000000
0,5,38,-33,0517689,00000000
0,6,38,-36,0517719,00000000
0,7,38,-36,0517748,00000000
0,8,38,-35,0517778,00000000
0,9,38,-33,0517808,00000000
0,0,39,-27,0518146,00000000
0,1,39,-27,0518176,00000000
0,2,39,-27,0518205,00000000
0,3,39,-27,0518235,00000000
0,4,39,-27,0518264,00000000
0,5,39,-27,0518294,00000000
0,6,39,-27,0518323,00000000
0,7,39,-27,0518353,00000000
0,8,39,-27,0518383,00000000
0,9,39,-28,0518412,00000000
0,0,40,-27,0518751,00000000
0,1,40,-27,0518780,00000000
0,2,40,-27,0518810,00000000
0,3,40,-27,0518839,00000000
0,4,40,-27,0518869,00000000
0,5,40,-27,0518899,00000000
0,6,40,-27,0518928,00000000
0,7,40,-27,0518958,00000000
0,8,40,-27,0518987,00000000
0,9,40,-27,0519017,00000000
0,0,41,-27,0519355,00000000
0,1,41,-27,0519385,00000000
0,2,41,-27,0519414,00000000
0,3,41,-28,0519444,00000000
0,4,41,-28,0519473,00000000
0,5,41,-28,0519503,00000000
0,6,41,-28,0519533,00000000
0,7,41,-27,0519562,00000000
0,8,41,-28,0519592,00000000
0,9,41,-28,0519621,00000000
0,0,42,-28,0519960,00000000
0,1,42,-27,0519989,00000000
0,2,42,-27,0520019,00000000
0,3,42,-26,0520048,00000000
0,4,42,-26,0520078,00000000
0,5,42,-27,0520108,00000000
0,6,42,-28,0520137,00000000
0,7,42,-30,0520167,00000000
0,8,42,-30,0520196,00000000
0,9,42,-31,0520226,00000000
0,0,43,-37,0520564,00000000
0,1,43,-37,0520594,00000000
0,2,43,-33,0520623,00000000
0,3,43,-32,0520653,00000000
0,4,43,-32,0520683,00000000
0,5,43,-31,0520712,00000000
0,6,43,-31,0520742,00000000
0,7,43,-31,0520771,00000000
0,8,43,-31,0520801,00000000
0,9,43,-30,0520830,00000000
0,0,44,-25,0521169,00000000
0,1,44,-25,0521198,00000000
0,2,44,-26,0521228,00000000
0,3,44,-26,0521258,00000000
0,4,44,-27,0521287,00000000
0,5,44,-27,0521317,00000000
0,6,44,-27,0521346,00000000
0,7,44,-28,0521376,00000000
0,8,44,-28,0521405,00000000
0,9,44,-28,0521435,00000000
0,0,45,-27,0521773,00000000
0,1,45,-26,0521803,00000000
0,2,45,-25,0521833,00000000
0,3,45,-24,0521862,00000000
0,4,45,-25,0521892,00000000
0,5,45,-26,0521921,00000000
0,6,45,-27,0521951,00000000
0,7,45,-27,0521980,00000000
0,8,45,-27,0522010,00000000
0,9,45,-26,0522039,00000000
0,0,46,-25,0522378,00000000
0,1,46,-24,0522408,00000000
0,2,46,-24,0522437,00000000
0,3,46,-24,0522467,00000000
0,4,46,-24,0522496,00000000
0,5,46,-24,0522526,00000000
0,6,46,-24,0522555,00000000
0,7,46,-24,0522585,00000000
0,8,46,-24,0522614,00000000
0,9,46,-24,0522644,00000000
0,0,47,-26,0522982,00000000
0,1,47,-24,0523012,00000000
0,2,47,-24,0523042,00000000
0,3,47,-24,0523071,00000000
0,4,47,-26,0523101,00000000
