RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
1,1,32,-38,"['-39', '120', '-33', '-58']"
1,1,33,-38,"['-39', '120', '-33', '-58']"
1,1,34,-38,"['-39', '120', '-33', '-58']"
1,1,30,-38,"['-39', '120', '-33', '-58']"
2,1,31,-39,"['-52', '-33', '0', '-36']"
2,1,32,-39,"['-52', '-33', '0', '-36']"
2,1,33,-39,"['-52', '-33', '0', '-36']"
2,1,34,-39,"['-52', '-33', '0', '-36']"
2,1,30,-39,"['-52', '-33', '0', '-36']"
3,1,31,-44,"['-43', '-59', '-36', '0']"
3,1,32,-44,"['-43', '-59', '-36', '0']"
3,1,33,-44,"['-43', '-59', '-36', '0']"
3,1,34,-44,"['-43', '-59', '-36', '0']"
3,1,30,-44,"['-43', '-59', '-36', '0']"
0,1,33,-37,"[0, '-41', '-52', '-44']"
0,1,34,-37,"[0, '-41', '-52', '-44']"
0,1,30,-37,"[0, '-41', '-52', '-44']"
0,1,31,-37,"[0, '-41', '-52', '-44']"
0,1,32,-37,"[0, '-41', '-52', '-44']"
1,1,36,-38,"['-39', '120', '-33', '-58']"
1,1,37,-38,"['-39', '120', '-33', '-58']"
1,1,38,-38,"['-39', '120', '-33', '-58']"
1,1,39,-38,"['-39', '120', '-33', '-58']"
1,1,35,-38,"['-39', '120', '-33', '-58']"
2,1,36,-39,"['-52', '-33', '0', '-36']"
2,1,37,-39,"['-52', '-33', '0', '-36']"
2,1,38,-39,"['-52', '-33', '0', '-36']"
2,1,39,-39,"['-52', '-33', '0', '-36']"
2,1,35,-39,"['-52', '-33', '0', '-36']"
3,1,36,-44,"['-43', '-59', '-36', '0']"
3,1,37,-44,"['-43', '-59', '-36', '0']"
3,1,38,-44,"['-43', '-59', '-36', '0']"
3,1,39,-44,"['-43', '-59', '-36', '0']"
3,1,35,-44,"['-43', '-59', '-36', '0']"
0,1,38,-37,"[0, '-41', '-52', '-44']"
0,1,39,-37,"[0, '-41', '-52', '-44']"
0,1,35,-37,"[0, '-41', '-52', '-44']"
0,1,36,-37,"[0, '-41', '-52', '-44']"
0,1,37,-37,"[0, '-41', '-52', '-44']"
1,1,41,-38,"['-39', '120', '-33', '-58']"
1,1,42,-38,"['-39', '120', '-33', '-58']"
1,1,43,-38,"['-39', '120', '-33', '-58']"
1,1,44,-38,"['-39', '120', '-33', '-58']"
1,1,40,-38,"['-39', '120', '-33', '-58']"
2,1,41,-39,"['-52', '-33', '0', '-36']"
2,1,42,-39,"['-52', '-33', '0', '-36']"
2,1,43,-39,"['-52', '-33', '0', '-36']"
2,1,44,-39,"['-52', '-33', '0', '-36']"
2,1,40,-39,"['-52', '-33', '0', '-36']"
3,1,41,-44,"['-43', '-59', '-36', '0']"
3,1,42,-44,"['-43', '-59', '-36', '0']"
3,1,43,-44,"['-43', '-59', '-36', '0']"
3,1,44,-44,"['-43', '-59', '-36', '0']"
3,1,40,-44,"['-43', '-59', '-36', '0']"
0,1,43,-37,"[0, '-41', '-52', '-44']"
0,1,44,-37,"[0, '-41', '-52', '-44']"
0,1,40,-37,"[0, '-41', '-52', '-44']"
0,1,41,-37,"[0, '-41', '-52', '-44']"
0,1,42,-37,"[0, '-41', '-52', '-44']"
1,1,46,-38,"['-39', '120', '-33', '-58']"
1,1,47,-38,"['-39', '120', '-33', '-58']"
1,1,48,-38,"['-39', '120', '-33', '-58']"
1,1,49,-38,"['-39', '120', '-33', '-58']"
1,1,45,-38,"['-39', '120', '-33', '-58']"
2,1,46,-39,"['-52', '-33', '0', '-36']"
2,1,47,-39,"['-52', '-33', '0', '-36']"
2,1,48,-39,"['-52', '-33', '0', '-36']"
2,1,49,-39,"['-52', '-33', '0', '-36']"
2,1,45,-39,"['-52', '-33', '0', '-36']"
3,1,46,-44,"['-43', '-59', '-36', '0']"
3,1,47,-44,"['-43', '-59', '-36', '0']"
3,1,48,-44,"['-43', '-59', '-36', '0']"
3,1,49,-44,"['-43', '-59', '-36', '0']"
3,1,45,-44,"['-43', '-59', '-36', '0']"
0,1,48,-37,"[0, '-41', '-52', '-44']"
0,1,49,-37,"[0, '-41', '-52', '-44']"
0,1,45,-37,"[0, '-41', '-52', '-44']"
0,1,46,-37,"[0, '-41', '-52', '-44']"
0,1,47,-37,"[0, '-41', '-52', '-44']"
1,1,51,-38,"['-39', '120', '-33', '-58']"
1,1,52,-38,"['-39', '120', '-33', '-58']"
1,1,53,-38,"['-39', '120', '-33', '-58']"
1,1,54,-38,"['-39', '120', '-33', '-58']"
1,1,50,-38,"['-39', '120', '-33', '-58']"
2,1,51,-39,"['-52', '-33', '0', '-36']"
2,1,52,-39,"['-52', '-33', '0', '-36']"
2,1,53,-39,"['-52', '-33', '0', '-36']"
2,1,54,-39,"['-52', '-33', '0', '-36']"
2,1,50,-39,"['-52', '-33', '0', '-36']"
3,1,51,-44,"['-43', '-59', '-36', '0']"
3,1,52,-44,"['-43', '-59', '-36', '0']"
3,1,53,-44,"['-43', '-59', '-36', '0']"
3,1,54,-44,"['-43', '-59', '-36', '0']"
3,1,50,-44,"['-43', '-59', '-36', '0']"
0,1,53,-37,"[0, '-41', '-52', '-44']"
0,1,54,-37,"[0, '-41', '-52', '-44']"
0,1,50,-37,"[0, '-41', '-52', '-44']"
0,1,51,-37,"[0, '-41', '-52', '-44']"
0,1,52,-37,"[0, '-41', '-52', '-44']"
1,1,56,-38,"['-39', '120', '-33', '-58']"
1,1,57,-38,"['-39', '120', '-33', '-58']"
1,1,58,-38,"['-39', '120', '-33', '-58']"
1,1,59,-38,"['-39', '120', '-33', '-58']"
1,1,55,-38,"['-39', '120', '-33', '-58']"
2,1,56,-39,"['-52', '-33', '0', '-36']"
2,1,57,-39,"['-52', '-33', '0', '-36']"
2,1,58,-39,"['-52', '-33', '0', '-36']"
2,1,59,-39,"['-52', '-33', '0', '-36']"
2,1,55,-39,"['-52', '-33', '0', '-36']"
3,1,56,-44,"['-43', '-59', '-36', '0']"
3,1,57,-44,"['-43', '-59', '-36', '0']"
3,1,58,-44,"['-43', '-59', '-36', '0']"
3,1,59,-44,"['-43', '-59', '-36', '0']"
3,1,55,-44,"['-43', '-59', '-36', '0']"
0,1,58,-37,"[0, '-41', '-53', '-43']"
0,1,59,-37,"[0, '-41', '-53', '-43']"
0,1,55,-37,"[0, '-41', '-53', '-43']"
0,1,56,-37,"[0, '-41', '-53', '-43']"
0,1,57,-37,"[0, '-41', '-53', '-43']"
1,1,61,-38,"['-39', '120', '-33', '-58']"
1,1,62,-38,"['-39', '120', '-33', '-58']"
1,1,63,-38,"['-39', '120', '-33', '-58']"
1,1,64,-38,"['-39', '120', '-33', '-58']"
1,1,60,-38,"['-39', '120', '-33', '-58']"
2,1,61,-39,"['-52', '-33', '0', '-36']"
2,1,62,-39,"['-52', '-33', '0', '-36']"
2,1,63,-39,"['-52', '-33', '0', '-36']"
2,1,64,-39,"['-52', '-33', '0', '-36']"
2,1,60,-39,"['-52', '-33', '0', '-36']"
3,1,61,-44,"['-43', '-59', '-36', '0']"
3,1,62,-44,"['-43', '-59', '-36', '0']"
3,1,63,-44,"['-43', '-59', '-36', '0']"
3,1,64,-44,"['-43', '-59', '-36', '0']"
3,1,60,-44,"['-43', '-59', '-36', '0']"
0,1,63,-37,"[0, '-40', '-53', '-42']"
0,1,64,-37,"[0, '-40', '-53', '-42']"
0,1,60,-37,"[0, '-40', '-53', '-42']"
0,1,61,-37,"[0, '-40', '-53', '-42']"
0,1,62,-37,"[0, '-40', '-53', '-42']"
1,1,66,-38,"['-39', '120', '-33', '-58']"
1,1,67,-38,"['-39', '120', '-33', '-58']"
1,1,68,-38,"['-39', '120', '-33', '-58']"
1,1,69,-38,"['-39', '120', '-33', '-58']"
1,1,65,-38,"['-39', '120', '-33', '-58']"
2,1,66,-39,"['-54', '-33', '0', '-36']"
2,1,67,-39,"['-54', '-33', '0', '-36']"
2,1,68,-39,"['-54', '-33', '0', '-36']"
2,1,69,-39,"['-54', '-33', '0', '-36']"
2,1,65,-39,"['-54', '-33', '0', '-36']"
3,1,66,-44,"['-41', '-58', '-36', '0']"
3,1,67,-44,"['-41', '-58', '-36', '0']"
3,1,68,-44,"['-41', '-58', '-36', '0']"
3,1,69,-44,"['-41', '-58', '-36', '0']"
3,1,65,-44,"['-41', '-58', '-36', '0']"
0,1,68,-37,"[0, '-40', '-52', '-45']"
0,1,69,-37,"[0, '-40', '-52', '-45']"
