RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
2,1,60,-33,"['-52', '-33', '0', '-36']"
2,1,61,-33,"['-52', '-33', '0', '-36']"
2,1,57,-33,"['-52', '-33', '0', '-36']"
3,1,58,-39,"['-42', '-62', '-36', '0']"
3,1,59,-39,"['-42', '-62', '-36', '0']"
3,1,60,-39,"['-42', '-62', '-36', '0']"
3,1,61,-39,"['-42', '-62', '-36', '0']"
3,1,57,-39,"['-42', '-62', '-36', '0']"
0,1,59,-45,"[0, '-42', '-52', '-42']"
0,1,60,-45,"[0, '-42', '-52', '-42']"
0,1,61,-45,"[0, '-42', '-52', '-42']"
0,1,57,-45,"[0, '-42', '-52', '-42']"
0,1,58,-45,"[0, '-42', '-52', '-42']"
1,1,63,-41,"['-40', '120', '-33', '-61']"
1,1,64,-41,"['-40', '120', '-33', '-61']"
1,1,65,-41,"['-40', '120', '-33', '-61']"
1,1,66,-41,"['-40', '120', '-33', '-61']"
1,1,62,-41,"['-40', '120', '-33', '-61']"
2,1,63,-33,"['-52', '-33', '0', '-36']"
2,1,64,-33,"['-52', '-33', '0', '-36']"
2,1,65,-33,"['-52', '-33', '0', '-36']"
2,1,66,-33,"['-52', '-33', '0', '-36']"
2,1,62,-33,"['-52', '-33', '0', '-36']"
3,1,63,-39,"['-42', '-62', '-36', '0']"
3,1,64,-39,"['-42', '-62', '-36', '0']"
3,1,65,-39,"['-42', '-62', '-36', '0']"
3,1,66,-39,"['-42', '-62', '-36', '0']"
3,1,62,-39,"['-42', '-62', '-36', '0']"
0,1,64,-45,"[0, '-42', '-52', '-42']"
0,1,65,-45,"[0, '-42', '-52', '-42']"
0,1,66,-45,"[0, '-42', '-52', '-42']"
0,1,62,-45,"[0, '-42', '-52', '-42']"
0,1,63,-45,"[0, '-42', '-52', '-42']"
1,1,68,-41,"['-40', '120', '-33', '-61']"
1,1,69,-41,"['-40', '120', '-33', '-61']"
1,1,70,-41,"['-40', '120', '-33', '-61']"
1,1,71,-41,"['-40', '120', '-33', '-61']"
1,1,67,-41,"['-40', '120', '-33', '-61']"
2,1,68,-33,"['-52', '-33', '0', '-36']"
2,1,69,-33,"['-52', '-33', '0', '-36']"
2,1,70,-33,"['-52', '-33', '0', '-36']"
2,1,71,-33,"['-52', '-33', '0', '-36']"
2,1,67,-33,"['-52', '-33', '0', '-36']"
3,1,68,-39,"['-42', '-62', '-36', '0']"
3,1,69,-39,"['-42', '-62', '-36', '0']"
3,1,70,-39,"['-42', '-62', '-36', '0']"
3,1,71,-39,"['-42', '-62', '-36', '0']"
3,1,67,-39,"['-42', '-62', '-36', '0']"
0,1,69,-45,"[0, '-42', '-54', '-42']"
0,1,70,-45,"[0, '-42', '-54', '-42']"
0,1,71,-45,"[0, '-42', '-54', '-42']"
0,1,67,-45,"[0, '-42', '-54', '-42']"
0,1,68,-45,"[0, '-42', '-54', '-42']"
1,1,73,-41,"['-40', '120', '-33', '-62']"
1,1,74,-41,"['-40', '120', '-33', '-62']"
1,1,75,-41,"['-40', '120', '-33', '-62']"
1,1,76,-41,"['-40', '120', '-33', '-62']"
1,1,72,-41,"['-40', '120', '-33', '-62']"
2,1,73,-33,"['-54', '-33', '0', '-36']"
2,1,74,-33,"['-54', '-33', '0', '-36']"
2,1,75,-33,"['-54', '-33', '0', '-36']"
2,1,76,-33,"['-54', '-33', '0', '-36']"
2,1,72,-33,"['-54', '-33', '0', '-36']"
3,1,73,-39,"['-42', '-66', '-36', '0']"
3,1,74,-39,"['-42', '-66', '-36', '0']"
3,1,75,-39,"['-42', '-66', '-36', '0']"
3,1,76,-39,"['-42', '-66', '-36', '0']"
3,1,72,-39,"['-42', '-66', '-36', '0']"
0,1,74,-45,"[0, '-41', '-54', '-46']"
0,1,75,-45,"[0, '-41', '-54', '-46']"
0,1,76,-45,"[0, '-41', '-54', '-46']"
0,1,72,-46,"[0, '-41', '-54', '-46']"
0,1,73,-46,"[0, '-41', '-54', '-46']"
1,1,78,-41,"['-39', '120', '-33', '-63']"
1,1,79,-41,"['-39', '120', '-33', '-63']"
1,1,80,-41,"['-39', '120', '-33', '-63']"
1,1,81,-41,"['-39', '120', '-33', '-63']"
1,1,77,-41,"['-39', '120', '-33', '-63']"
2,1,78,-33,"['-50', '-33', '0', '-36']"
2,1,79,-33,"['-50', '-33', '0', '-36']"
2,1,80,-33,"['-50', '-33', '0', '-36']"
2,1,81,-33,"['-50', '-33', '0', '-36']"
2,1,77,-33,"['-50', '-33', '0', '-36']"
3,1,78,-39,"['-43', '-63', '-36', '0']"
3,1,79,-39,"['-43', '-63', '-36', '0']"
3,1,80,-39,"['-43', '-63', '-36', '0']"
3,1,81,-39,"['-43', '-63', '-36', '0']"
3,1,77,-39,"['-43', '-63', '-36', '0']"
0,1,79,-45,"[0, '-41', '-51', '-45']"
0,1,80,-45,"[0, '-41', '-51', '-45']"
0,1,81,-46,"[0, '-41', '-51', '-45']"
0,1,77,-45,"[0, '-41', '-51', '-45']"
0,1,78,-45,"[0, '-41', '-51', '-45']"
