RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
0,1,175,-48,"[0, '-38', '-54', '-45']"
0,1,171,-48,"[0, '-38', '-54', '-45']"
0,1,172,-48,"[0, '-38', '-54', '-45']"
0,1,173,-48,"[0, '-38', '-54', '-45']"
1,1,177,-35,"['-37', '120', '-33', '-54']"
1,1,178,-35,"['-37', '120', '-33', '-54']"
1,1,179,-35,"['-37', '120', '-33', '-54']"
1,1,180,-35,"['-37', '120', '-33', '-54']"
1,1,176,-35,"['-37', '120', '-33', '-54']"
2,1,178,-39,"['-54', '-33', '0', '-36']"
2,1,179,-39,"['-54', '-33', '0', '-36']"
2,1,180,-39,"['-54', '-33', '0', '-36']"
2,1,176,-39,"['-54', '-33', '0', '-36']"
2,1,177,-39,"['-54', '-33', '0', '-36']"
3,1,177,-52,"['-45', '-54', '-36', '0']"
3,1,178,-52,"['-45', '-54', '-36', '0']"
3,1,179,-52,"['-45', '-54', '-36', '0']"
3,1,180,-52,"['-45', '-54', '-36', '0']"
3,1,176,-52,"['-45', '-54', '-36', '0']"
0,1,179,-48,"[0, '-38', '-54', '-48']"
0,1,180,-48,"[0, '-38', '-54', '-48']"
0,1,176,-48,"[0, '-38', '-54', '-48']"
0,1,177,-48,"[0, '-38', '-54', '-48']"
0,1,178,-48,"[0, '-38', '-54', '-48']"
1,1,182,-35,"['-37', '120', '-33', '-54']"
1,1,183,-35,"['-37', '120', '-33', '-54']"
1,1,184,-35,"['-37', '120', '-33', '-54']"
1,1,185,-35,"['-37', '120', '-33', '-54']"
1,1,181,-35,"['-37', '120', '-33', '-54']"
2,1,183,-39,"['-54', '-33', '0', '-36']"
2,1,184,-39,"['-54', '-33', '0', '-36']"
2,1,185,-39,"['-54', '-33', '0', '-36']"
2,1,181,-39,"['-54', '-33', '0', '-36']"
2,1,182,-39,"['-54', '-33', '0', '-36']"
3,1,182,-52,"['-45', '-54', '-36', '0']"
3,1,183,-52,"['-45', '-54', '-36', '0']"
3,1,184,-52,"['-45', '-54', '-36', '0']"
3,1,185,-52,"['-45', '-54', '-36', '0']"
3,1,181,-52,"['-45', '-54', '-36', '0']"
0,1,184,-48,"[0, '-38', '-52', '-44']"
0,1,185,-48,"[0, '-38', '-52', '-44']"
0,1,181,-49,"[0, '-38', '-52', '-44']"
0,1,182,-49,"[0, '-38', '-52', '-44']"
0,1,183,-49,"[0, '-38', '-52', '-44']"
1,1,187,-35,"['-38', '120', '-33', '-53']"
1,1,188,-35,"['-38', '120', '-33', '-53']"
1,1,189,-35,"['-38', '120', '-33', '-53']"
1,1,190,-35,"['-38', '120', '-33', '-53']"
1,1,186,-35,"['-38', '120', '-33', '-53']"
2,1,188,-39,"['-52', '-33', '0', '-36']"
2,1,189,-39,"['-52', '-33', '0', '-36']"
2,1,190,-39,"['-52', '-33', '0', '-36']"
2,1,186,-39,"['-52', '-33', '0', '-36']"
2,1,187,-39,"['-52', '-33', '0', '-36']"
3,1,187,-52,"['-44', '-53', '-36', '0']"
3,1,188,-52,"['-44', '-53', '-36', '0']"
3,1,189,-51,"['-44', '-53', '-36', '0']"
