RxNID,TXNID,PacketNo,RSSI
1,1,69,-34
1,1,65,-33
1,1,66,-33
1,1,67,-34
1,1,68,-34
2,1,66,-27
2,1,67,-28
2,1,68,-28
2,1,69,-28
2,1,65,-27
0,1,65,-30
0,1,66,-30
0,1,67,-30
0,1,68,-30
0,1,69,-30
1,1,74,-34
1,1,70,-34
1,1,71,-34
1,1,72,-34
1,1,73,-34
2,1,71,-28
2,1,72,-28
2,1,73,-28
2,1,74,-28
2,1,70,-28
0,1,70,-30
0,1,71,-30
0,1,72,-30
0,1,73,-30
0,1,74,-30
1,1,79,-33
1,1,75,-33
1,1,76,-33
1,1,77,-33
1,1,78,-33
2,1,76,-28
2,1,77,-28
2,1,78,-28
2,1,79,-28
2,1,75,-28
0,1,75,-30
0,1,76,-30
0,1,77,-30
0,1,78,-30
0,1,79,-30
1,1,84,-34
1,1,80,-34
1,1,81,-34
1,1,82,-34
1,1,83,-34
2,1,81,-28
2,1,82,-28
2,1,83,-28
2,1,84,-28
2,1,80,-28
0,1,80,-30
0,1,81,-30
0,1,82,-30
0,1,83,-30
0,1,84,-30
1,1,89,-33
1,1,85,-33
1,1,86,-33
1,1,87,-33
1,1,88,-33
2,1,86,-27
2,1,87,-28
2,1,88,-27
2,1,89,-27
2,1,85,-28
0,1,85,-30
0,1,86,-30
0,1,87,-30
0,1,88,-30
0,1,89,-30
1,1,94,-33
1,1,90,-33
1,1,91,-33
1,1,92,-33
1,1,93,-33
2,1,91,-27
2,1,92,-27
2,1,93,-27
2,1,94,-27
2,1,90,-27
0,1,90,-30
0,1,91,-30
0,1,92,-30
0,1,93,-30
0,1,94,-30
1,1,99,-33
1,1,95,-33
1,1,96,-33
1,1,97,-33
1,1,98,-33
2,1,96,-27
2,1,97,-27
2,1,98,-27
2,1,99,-27
2,1,95,-27
0,1,95,-30
0,1,96,-30
0,1,97,-30
0,1,98,-30
0,1,99,-30
1,1,104,-33
1,1,100,-33
1,1,101,-33
1,1,102,-33
1,1,103,-33
