RxNID,TXNID,PacketNo,RSSI
0,1,10,-25
0,1,11,-25
0,1,12,-25
0,1,13,-25
0,1,14,-25
1,1,19,-33
1,1,15,-33
1,1,16,-33
1,1,17,-33
1,1,18,-33
2,1,16,-30
2,1,17,-30
2,1,18,-30
2,1,19,-30
2,1,15,-30
0,1,15,-25
0,1,16,-25
0,1,17,-25
0,1,18,-25
0,1,19,-25
1,1,24,-33
1,1,20,-33
1,1,21,-33
1,1,22,-33
1,1,23,-33
2,1,21,-30
2,1,22,-30
2,1,23,-30
2,1,24,-30
2,1,20,-30
0,1,20,-24
0,1,21,-24
0,1,22,-24
0,1,23,-24
0,1,24,-24
1,1,29,-33
1,1,25,-33
1,1,26,-33
1,1,27,-33
1,1,28,-33
2,1,26,-30
2,1,27,-30
2,1,28,-30
2,1,29,-30
2,1,25,-30
0,1,25,-24
0,1,26,-24
0,1,27,-24
0,1,28,-24
0,1,29,-24
1,1,34,-33
1,1,30,-33
1,1,31,-33
1,1,32,-33
1,1,33,-33
2,1,31,-30
2,1,32,-30
2,1,33,-30
2,1,34,-30
2,1,30,-30
0,1,30,-24
0,1,31,-24
0,1,32,-24
0,1,33,-24
0,1,34,-24
1,1,39,-33
1,1,35,-33
1,1,36,-33
1,1,37,-33
1,1,38,-33
2,1,36,-30
2,1,37,-30
2,1,38,-30
2,1,39,-30
2,1,35,-30
0,1,35,-24
0,1,36,-24
0,1,37,-24
0,1,38,-24
0,1,39,-24
1,1,44,-33
1,1,40,-33
1,1,41,-33
1,1,42,-33
1,1,43,-33
2,1,41,-30
2,1,42,-30
2,1,43,-30
2,1,44,-30
2,1,40,-30
0,1,40,-24
0,1,41,-24
0,1,42,-24
0,1,43,-24
0,1,44,-24
1,1,49,-33
1,1,45,-33
1,1,46,-33
1,1,47,-33
1,1,48,-33
2,1,46,-30
2,1,47,-30
2,1,48,-30
2,1,49,-30
2,1,45,-30
0,1,45,-24
0,1,46,-24
0,1,47,-24
0,1,48,-24
0,1,49,-24
