RxNID,TXNID,PacketNo,RSSI
1,1,186,-32
1,1,182,-32
1,1,183,-32
1,1,184,-32
1,1,185,-32
2,1,183,-32
2,1,184,-32
2,1,185,-32
2,1,186,-32
2,1,182,-32
0,1,182,-48
0,1,183,-48
0,1,184,-48
0,1,185,-48
0,1,186,-48
1,1,191,-32
1,1,187,-32
1,1,188,-32
1,1,189,-32
1,1,190,-32
2,1,188,-32
2,1,189,-32
2,1,190,-32
2,1,191,-32
2,1,187,-32
0,1,187,-48
0,1,188,-48
0,1,189,-48
0,1,190,-48
0,1,191,-48
1,1,196,-32
1,1,192,-32
1,1,193,-32
1,1,194,-32
1,1,195,-32
2,1,193,-32
2,1,194,-32
2,1,195,-32
2,1,196,-32
2,1,192,-32
0,1,192,-48
0,1,193,-48
0,1,194,-48
0,1,195,-48
0,1,196,-48
1,1,201,-32
1,1,197,-32
1,1,198,-32
1,1,199,-32
1,1,200,-32
2,1,198,-32
2,1,199,-32
2,1,200,-32
2,1,201,-32
2,1,197,-32
0,1,197,-48
0,1,198,-48
0,1,199,-48
0,1,200,-48
0,1,201,-48
1,1,206,-32
1,1,202,-32
1,1,203,-32
1,1,204,-32
1,1,205,-32
2,1,203,-32
2,1,204,-32
2,1,205,-32
2,1,206,-32
2,1,202,-32
0,1,202,-48
0,1,203,-48
0,1,204,-48
0,1,205,-48
0,1,206,-48
1,1,211,-32
1,1,207,-32
1,1,208,-32
1,1,209,-32
1,1,210,-32
2,1,208,-32
2,1,209,-32
2,1,210,-32
2,1,211,-32
2,1,207,-32
0,1,207,-49
0,1,208,-49
0,1,209,-49
0,1,210,-49
0,1,211,-48
1,1,216,-32
1,1,212,-32
1,1,213,-32
1,1,214,-32
1,1,215,-32
2,1,213,-32
2,1,214,-32
2,1,215,-32
2,1,216,-32
2,1,212,-32
0,1,212,-49
0,1,213,-49
0,1,214,-49
0,1,215,-49
0,1,216,-49
1,1,221,-32
1,1,217,-32
1,1,218,-32
1,1,219,-32
1,1,220,-32
