RxNID,TXNID,PacketNo,RSSI
2,1,44,-44
2,1,45,-44
2,1,46,-44
2,1,47,-44
2,1,43,-44
0,1,43,-24
0,1,44,-24
0,1,45,-24
0,1,46,-24
0,1,47,-24
1,1,52,-36
1,1,48,-35
1,1,49,-36
1,1,50,-36
1,1,51,-36
2,1,49,-43
2,1,50,-43
2,1,51,-43
2,1,52,-43
2,1,48,-43
0,1,48,-24
0,1,49,-24
0,1,50,-24
0,1,51,-24
0,1,52,-24
1,1,57,-36
1,1,53,-36
1,1,54,-36
1,1,55,-36
1,1,56,-36
2,1,54,-42
2,1,55,-42
2,1,56,-42
2,1,57,-42
2,1,53,-42
0,1,53,-24
0,1,54,-24
0,1,55,-24
0,1,56,-24
0,1,57,-24
1,1,62,-36
1,1,58,-36
1,1,59,-36
1,1,60,-36
1,1,61,-36
2,1,59,-42
2,1,60,-42
2,1,61,-42
2,1,62,-42
2,1,58,-42
0,1,58,-24
0,1,59,-24
0,1,60,-24
0,1,61,-24
0,1,62,-24
1,1,67,-36
1,1,63,-36
1,1,64,-36
1,1,65,-36
1,1,66,-36
2,1,64,-42
2,1,65,-42
2,1,66,-42
2,1,67,-42
2,1,63,-42
0,1,63,-24
0,1,64,-24
0,1,65,-24
0,1,66,-24
0,1,67,-24
1,1,72,-36
1,1,68,-36
1,1,69,-36
1,1,70,-36
1,1,71,-36
2,1,69,-42
2,1,70,-42
2,1,71,-42
2,1,72,-42
2,1,68,-42
0,1,68,-24
0,1,69,-24
0,1,70,-24
0,1,71,-24
0,1,72,-24
1,1,77,-36
1,1,73,-36
1,1,74,-36
1,1,75,-36
1,1,76,-36
2,1,74,-42
2,1,75,-42
2,1,76,-42
2,1,77,-42
2,1,73,-42
0,1,73,-24
0,1,74,-24
0,1,75,-24
0,1,76,-24
0,1,77,-24
1,1,82,-36
1,1,78,-36
1,1,79,-36
1,1,80,-36
1,1,81,-36
2,1,79,-44
2,1,80,-44
2,1,81,-44
2,1,82,-44
2,1,78,-44
