RxNID,TXNID,PacketNo,RSSI
1,1,133,-31
1,1,129,-31
1,1,130,-31
1,1,131,-31
1,1,132,-31
2,1,130,-36
2,1,131,-36
2,1,132,-36
2,1,133,-36
2,1,129,-36
0,1,129,-34
0,1,130,-34
0,1,131,-34
0,1,132,-34
0,1,133,-34
1,1,138,-31
1,1,134,-31
1,1,135,-31
1,1,136,-31
1,1,137,-31
2,1,135,-36
2,1,136,-36
2,1,137,-36
2,1,138,-36
2,1,134,-36
0,1,134,-34
0,1,135,-34
0,1,136,-34
0,1,137,-34
0,1,138,-34
1,1,143,-31
1,1,139,-31
1,1,140,-31
1,1,141,-31
1,1,142,-31
2,1,140,-36
2,1,141,-36
2,1,142,-36
2,1,143,-36
2,1,139,-36
0,1,139,-34
0,1,140,-34
0,1,141,-34
0,1,142,-34
0,1,143,-34
1,1,148,-31
1,1,144,-31
1,1,145,-31
1,1,146,-31
1,1,147,-31
2,1,145,-36
2,1,146,-36
2,1,147,-36
2,1,148,-36
2,1,144,-36
0,1,144,-34
0,1,145,-34
0,1,146,-34
0,1,147,-34
0,1,148,-34
1,1,153,-31
1,1,149,-31
1,1,150,-31
1,1,151,-31
1,1,152,-31
2,1,150,-36
2,1,151,-36
2,1,152,-36
2,1,153,-36
2,1,149,-36
0,1,149,-34
0,1,150,-34
0,1,151,-34
0,1,152,-34
0,1,153,-34
1,1,158,-31
1,1,154,-31
1,1,155,-31
1,1,156,-31
1,1,157,-31
2,1,155,-36
2,1,156,-36
2,1,157,-36
2,1,158,-36
2,1,154,-36
0,1,154,-34
0,1,155,-34
0,1,156,-34
0,1,157,-34
0,1,158,-34
1,1,163,-31
1,1,159,-31
1,1,160,-31
1,1,161,-31
1,1,162,-31
2,1,160,-36
2,1,161,-36
2,1,162,-36
2,1,163,-36
2,1,159,-36
0,1,159,-34
0,1,160,-34
0,1,161,-34
0,1,162,-34
0,1,163,-34
1,1,168,-31
1,1,164,-31
1,1,165,-31
1,1,166,-31
1,1,167,-31
