RxNID,TXNID,PacketNo,RSSI
1,1,97,-48
1,1,93,-48
1,1,94,-48
1,1,95,-48
1,1,96,-48
2,1,94,-24
2,1,95,-24
2,1,96,-24
2,1,97,-24
2,1,93,-24
0,1,93,-37
0,1,94,-37
0,1,95,-36
0,1,96,-37
0,1,97,-37
1,1,102,-48
1,1,98,-48
1,1,99,-48
1,1,100,-48
1,1,101,-48
2,1,99,-24
2,1,100,-24
2,1,101,-24
2,1,102,-24
2,1,98,-24
0,1,98,-37
0,1,99,-37
0,1,100,-37
0,1,101,-37
0,1,102,-37
1,1,107,-48
1,1,103,-48
1,1,104,-48
1,1,105,-48
1,1,106,-48
2,1,104,-24
2,1,105,-24
2,1,106,-24
2,1,107,-24
2,1,103,-24
0,1,103,-37
0,1,104,-37
0,1,105,-37
0,1,106,-37
0,1,107,-37
1,1,112,-47
1,1,108,-48
1,1,109,-48
1,1,110,-47
1,1,111,-47
2,1,109,-24
2,1,110,-24
2,1,111,-24
2,1,112,-24
2,1,108,-24
0,1,108,-37
0,1,109,-37
0,1,110,-37
0,1,111,-37
0,1,112,-37
1,1,117,-47
1,1,113,-46
1,1,114,-47
1,1,115,-47
1,1,116,-47
2,1,114,-24
2,1,115,-24
2,1,116,-24
2,1,117,-24
2,1,113,-24
0,1,113,-37
0,1,114,-37
0,1,115,-37
0,1,116,-37
0,1,117,-37
1,1,122,-47
1,1,118,-47
1,1,119,-47
1,1,120,-47
1,1,121,-47
2,1,119,-24
2,1,120,-24
2,1,121,-24
2,1,122,-24
2,1,118,-24
0,1,118,-37
0,1,119,-37
0,1,120,-37
0,1,121,-37
0,1,122,-37
1,1,127,-48
1,1,123,-47
1,1,124,-47
1,1,125,-48
1,1,126,-48
2,1,124,-24
2,1,125,-24
2,1,126,-24
2,1,127,-24
2,1,123,-24
0,1,123,-37
0,1,124,-37
0,1,125,-37
0,1,126,-37
0,1,127,-37
1,1,132,-48
1,1,128,-48
1,1,129,-48
1,1,130,-48
1,1,131,-48
