RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
1,1,122,-30,"['-60', '120', '-36', '-53']"
1,1,123,-30,"['-60', '120', '-36', '-53']"
1,1,124,-30,"['-60', '120', '-36', '-53']"
1,1,125,-30,"['-60', '120', '-36', '-53']"
1,1,126,-30,"['-60', '120', '-36', '-53']"
2,1,122,-28,"['-58', '-37', '0', '-42']"
2,1,123,-28,"['-58', '-37', '0', '-42']"
2,1,124,-28,"['-58', '-37', '0', '-42']"
2,1,125,-28,"['-58', '-37', '0', '-42']"
2,1,126,-28,"['-58', '-37', '0', '-42']"
3,1,122,-43,"['-36', '-53', '-42', '0']"
3,1,123,-43,"['-36', '-53', '-42', '0']"
3,1,124,-43,"['-36', '-53', '-42', '0']"
3,1,125,-43,"['-36', '-53', '-42', '0']"
3,1,126,-43,"['-36', '-53', '-42', '0']"
0,1,122,-54,"[0, '-60', '-59', '-36']"
0,1,123,-54,"[0, '-60', '-59', '-36']"
0,1,124,-54,"[0, '-60', '-59', '-36']"
0,1,125,-54,"[0, '-60', '-59', '-36']"
0,1,126,-54,"[0, '-60', '-59', '-36']"
1,1,127,-30,"['-60', '120', '-36', '-53']"
1,1,128,-30,"['-60', '120', '-36', '-53']"
1,1,129,-30,"['-60', '120', '-36', '-53']"
1,1,130,-30,"['-60', '120', '-36', '-53']"
1,1,131,-30,"['-60', '120', '-36', '-53']"
2,1,127,-28,"['-58', '-37', '0', '-42']"
2,1,128,-28,"['-58', '-37', '0', '-42']"
2,1,129,-28,"['-58', '-37', '0', '-42']"
2,1,130,-28,"['-58', '-37', '0', '-42']"
2,1,131,-28,"['-58', '-37', '0', '-42']"
3,1,127,-43,"['-36', '-53', '-42', '0']"
3,1,128,-43,"['-36', '-53', '-42', '0']"
3,1,129,-43,"['-36', '-53', '-42', '0']"
3,1,130,-43,"['-36', '-53', '-42', '0']"
3,1,131,-43,"['-36', '-53', '-42', '0']"
0,1,127,-54,"[0, '-60', '-58', '-36']"
0,1,128,-53,"[0, '-60', '-58', '-36']"
0,1,129,-54,"[0, '-60', '-58', '-36']"
0,1,130,-54,"[0, '-60', '-58', '-36']"
0,1,131,-54,"[0, '-60', '-58', '-36']"
1,1,132,-30,"['-60', '120', '-36', '-53']"
1,1,133,-30,"['-60', '120', '-36', '-53']"
1,1,134,-30,"['-60', '120', '-36', '-53']"
1,1,135,-30,"['-60', '120', '-36', '-53']"
1,1,136,-30,"['-60', '120', '-36', '-53']"
2,1,132,-27,"['-58', '-37', '0', '-42']"
2,1,133,-28,"['-58', '-37', '0', '-42']"
2,1,134,-28,"['-58', '-37', '0', '-42']"
2,1,135,-28,"['-58', '-37', '0', '-42']"
2,1,136,-28,"['-58', '-37', '0', '-42']"
3,1,132,-43,"['-36', '-53', '-42', '0']"
3,1,133,-43,"['-36', '-53', '-42', '0']"
3,1,134,-43,"['-36', '-53', '-42', '0']"
3,1,135,-43,"['-36', '-53', '-42', '0']"
3,1,136,-43,"['-36', '-53', '-42', '0']"
0,1,132,-53,"[0, '-60', '-59', '-36']"
0,1,133,-53,"[0, '-60', '-59', '-36']"
0,1,134,-54,"[0, '-60', '-59', '-36']"
0,1,135,-54,"[0, '-60', '-59', '-36']"
0,1,136,-54,"[0, '-60', '-59', '-36']"
1,1,137,-30,"['-60', '120', '-36', '-52']"
1,1,138,-30,"['-60', '120', '-36', '-52']"
1,1,139,-30,"['-60', '120', '-36', '-52']"
1,1,140,-30,"['-60', '120', '-36', '-52']"
1,1,141,-30,"['-60', '120', '-36', '-52']"
2,1,137,-28,"['-58', '-37', '0', '-42']"
2,1,138,-28,"['-58', '-37', '0', '-42']"
2,1,139,-28,"['-58', '-37', '0', '-42']"
2,1,140,-28,"['-58', '-37', '0', '-42']"
2,1,141,-28,"['-58', '-37', '0', '-42']"
3,1,137,-43,"['-36', '-53', '-42', '0']"
3,1,138,-43,"['-36', '-53', '-42', '0']"
3,1,139,-43,"['-36', '-53', '-42', '0']"
3,1,140,-43,"['-36', '-53', '-42', '0']"
3,1,141,-43,"['-36', '-53', '-42', '0']"
0,1,137,-53,"[0, '-60', '-58', '-36']"
0,1,138,-53,"[0, '-60', '-58', '-36']"
0,1,139,-53,"[0, '-60', '-58', '-36']"
0,1,140,-54,"[0, '-60', '-58', '-36']"
0,1,141,-54,"[0, '-60', '-58', '-36']"
1,1,142,-30,"['-60', '120', '-36', '-52']"
