RxNID,TXNID,PacketNo,RSSI
1,1,86,-25
1,1,87,-25
1,1,88,-25
1,1,89,-25
1,1,90,-25
2,1,86,-38
2,1,87,-38
2,1,88,-38
2,1,89,-38
2,1,90,-38
0,1,86,-44
0,1,87,-44
0,1,88,-44
0,1,89,-44
0,1,90,-44
1,1,91,-25
1,1,92,-25
1,1,93,-25
1,1,94,-25
1,1,95,-25
2,1,91,-38
2,1,92,-38
2,1,93,-38
2,1,94,-38
2,1,95,-38
0,1,91,-44
0,1,92,-44
0,1,93,-44
0,1,94,-44
0,1,95,-44
1,1,96,-25
1,1,97,-25
1,1,98,-25
1,1,99,-25
1,1,100,-25
2,1,96,-38
2,1,97,-38
2,1,98,-38
2,1,99,-38
2,1,100,-38
0,1,96,-44
0,1,97,-44
0,1,98,-44
0,1,99,-44
0,1,100,-44
1,1,101,-25
1,1,102,-25
1,1,103,-25
1,1,104,-25
1,1,105,-25
2,1,101,-38
2,1,102,-38
2,1,103,-38
2,1,104,-38
2,1,105,-38
0,1,101,-45
0,1,102,-45
0,1,103,-45
0,1,104,-44
0,1,105,-45
1,1,106,-25
1,1,107,-25
1,1,108,-25
1,1,109,-25
1,1,110,-25
2,1,106,-38
2,1,107,-38
2,1,108,-38
2,1,109,-38
2,1,110,-38
0,1,106,-44
0,1,107,-45
0,1,108,-45
0,1,109,-45
0,1,110,-45
1,1,111,-25
1,1,112,-25
1,1,113,-25
1,1,114,-25
1,1,115,-25
2,1,111,-38
2,1,112,-38
2,1,113,-38
2,1,114,-38
2,1,115,-38
0,1,111,-45
0,1,112,-45
0,1,113,-44
0,1,114,-45
0,1,115,-45
1,1,116,-25
1,1,117,-25
1,1,118,-25
1,1,119,-25
1,1,120,-25
2,1,116,-38
2,1,117,-38
2,1,118,-38
2,1,119,-38
2,1,120,-38
0,1,116,-45
0,1,117,-45
0,1,118,-45
0,1,119,-44
0,1,120,-45
1,1,121,-25
1,1,122,-25
1,1,123,-25
1,1,124,-25
1,1,125,-25
2,1,121,-38
2,1,122,-38
2,1,123,-38
2,1,124,-38
2,1,125,-38
