RxNID,TXNID,PacketNo,RSSI
2,1,36,-32
2,1,37,-32
2,1,38,-32
2,1,39,-32
2,1,40,-32
0,1,36,-60
0,1,37,-60
0,1,38,-60
0,1,39,-60
0,1,40,-60
1,1,41,-36
1,1,42,-36
1,1,43,-36
1,1,44,-36
1,1,45,-36
2,1,41,-32
2,1,42,-32
2,1,43,-32
2,1,44,-32
2,1,45,-32
0,1,41,-60
0,1,42,-60
0,1,43,-60
0,1,44,-60
0,1,45,-61
1,1,46,-36
1,1,47,-36
1,1,48,-36
1,1,49,-36
1,1,50,-36
2,1,46,-32
2,1,47,-32
2,1,48,-32
2,1,49,-32
2,1,50,-32
0,1,46,-60
0,1,47,-60
0,1,48,-60
0,1,49,-60
0,1,50,-60
1,1,51,-36
1,1,52,-36
1,1,53,-36
1,1,54,-36
1,1,55,-36
2,1,51,-32
2,1,52,-32
2,1,53,-32
2,1,54,-32
2,1,55,-32
0,1,51,-60
0,1,52,-60
0,1,53,-60
0,1,54,-60
0,1,55,-60
1,1,56,-36
1,1,57,-36
1,1,58,-36
1,1,59,-36
1,1,60,-36
2,1,56,-32
2,1,57,-32
2,1,58,-32
2,1,59,-32
2,1,60,-32
0,1,56,-60
0,1,57,-60
0,1,58,-60
0,1,59,-60
0,1,60,-60
1,1,61,-36
1,1,62,-36
1,1,63,-36
1,1,64,-36
1,1,65,-36
2,1,61,-32
2,1,62,-32
2,1,63,-32
2,1,64,-32
2,1,65,-32
0,1,61,-60
0,1,62,-60
0,1,63,-60
0,1,64,-60
0,1,65,-60
1,1,66,-36
1,1,67,-36
1,1,68,-36
1,1,69,-36
1,1,70,-36
2,1,66,-32
2,1,67,-32
2,1,68,-32
2,1,69,-32
2,1,70,-32
0,1,66,-60
0,1,67,-60
0,1,68,-60
0,1,69,-60
0,1,70,-60
1,1,71,-36
1,1,72,-36
1,1,73,-36
1,1,74,-36
1,1,75,-36
2,1,71,-32
2,1,72,-32
2,1,73,-32
2,1,74,-32
2,1,75,-32
0,1,71,-60
0,1,72,-60
0,1,73,-60
0,1,74,-60
0,1,75,-60
