RxNID,TXNID,PacketNo,RSSI
1,1,214,-38
1,1,215,-38
1,1,216,-38
1,1,217,-38
1,1,218,-38
2,1,214,-33
2,1,215,-33
2,1,216,-33
2,1,217,-33
2,1,218,-33
0,1,214,-50
0,1,215,-50
0,1,216,-50
0,1,217,-50
0,1,218,-50
1,1,219,-38
1,1,220,-38
1,1,221,-38
1,1,222,-38
1,1,223,-38
2,1,219,-33
2,1,220,-33
2,1,221,-33
2,1,222,-33
2,1,223,-33
0,1,219,-50
0,1,220,-50
0,1,221,-50
0,1,222,-50
0,1,223,-50
1,1,224,-38
1,1,225,-38
1,1,226,-38
1,1,227,-38
1,1,228,-38
2,1,224,-33
2,1,225,-33
2,1,226,-33
2,1,227,-33
2,1,228,-33
0,1,224,-51
0,1,225,-50
0,1,226,-50
0,1,227,-50
0,1,228,-51
1,1,229,-38
1,1,230,-38
1,1,231,-38
1,1,232,-38
1,1,233,-38
2,1,229,-33
2,1,230,-33
2,1,231,-33
2,1,232,-33
2,1,233,-33
0,1,229,-51
0,1,230,-50
0,1,231,-51
0,1,232,-50
0,1,233,-51
1,1,234,-38
1,1,235,-38
1,1,236,-38
1,1,237,-38
1,1,238,-38
2,1,234,-33
2,1,235,-33
2,1,236,-33
2,1,237,-33
2,1,238,-33
0,1,234,-51
0,1,235,-50
0,1,236,-50
0,1,237,-50
0,1,238,-50
1,1,239,-38
1,1,240,-38
1,1,241,-38
1,1,242,-38
1,1,243,-38
2,1,239,-33
2,1,240,-33
2,1,241,-33
2,1,242,-33
2,1,243,-33
0,1,239,-50
0,1,240,-50
0,1,241,-50
0,1,242,-50
0,1,243,-50
1,1,244,-38
1,1,245,-38
1,1,246,-38
1,1,247,-38
1,1,248,-38
2,1,244,-33
2,1,245,-33
2,1,246,-33
2,1,247,-33
2,1,248,-33
0,1,244,-50
0,1,245,-50
0,1,246,-50
0,1,247,-50
0,1,248,-50
1,1,249,-38
1,1,250,-38
1,1,251,-38
1,1,252,-38
1,1,253,-38
2,1,249,-33
2,1,250,-33
2,1,251,-33
2,1,252,-33
2,1,253,-33
