RxNID,TXNID,PacketNo,RSSI
1,1,253,-41
1,1,254,-41
1,1,255,-41
1,1,0,-41
1,1,1,-41
2,1,253,-46
2,1,254,-46
2,1,255,-46
2,1,0,-46
2,1,1,-46
0,1,253,-25
0,1,254,-25
0,1,255,-25
0,1,0,-25
0,1,1,-25
1,1,2,-41
1,1,3,-41
1,1,4,-41
1,1,5,-41
1,1,6,-41
2,1,2,-46
2,1,3,-46
2,1,4,-46
2,1,5,-46
2,1,6,-46
0,1,2,-25
0,1,3,-25
0,1,4,-25
0,1,5,-25
0,1,6,-25
1,1,7,-41
1,1,8,-41
1,1,9,-41
1,1,10,-41
1,1,11,-41
2,1,7,-46
2,1,8,-46
2,1,9,-46
2,1,10,-46
2,1,11,-46
0,1,7,-25
0,1,8,-25
0,1,9,-25
0,1,10,-25
0,1,11,-25
1,1,12,-41
1,1,13,-41
1,1,14,-41
1,1,15,-41
1,1,16,-41
2,1,12,-46
2,1,13,-46
2,1,14,-46
2,1,15,-46
2,1,16,-46
0,1,12,-25
0,1,13,-25
0,1,14,-25
0,1,15,-25
0,1,16,-25
1,1,17,-41
1,1,18,-41
1,1,19,-41
1,1,20,-41
1,1,21,-41
2,1,17,-46
2,1,18,-46
2,1,19,-46
2,1,20,-46
2,1,21,-46
0,1,17,-25
0,1,18,-25
0,1,19,-25
0,1,20,-25
0,1,21,-25
1,1,22,-41
1,1,23,-41
1,1,24,-41
1,1,25,-41
1,1,26,-41
2,1,22,-46
2,1,23,-46
2,1,24,-46
2,1,25,-46
2,1,26,-46
0,1,22,-25
0,1,23,-25
0,1,24,-25
0,1,25,-25
0,1,26,-25
1,1,27,-41
1,1,28,-41
1,1,29,-41
1,1,30,-41
1,1,31,-41
2,1,27,-46
2,1,28,-46
2,1,29,-46
2,1,30,-46
2,1,31,-46
0,1,27,-25
0,1,28,-25
0,1,29,-25
0,1,30,-25
0,1,31,-25
1,1,32,-41
1,1,33,-41
1,1,34,-41
1,1,35,-41
1,1,36,-41
2,1,32,-46
2,1,33,-46
2,1,34,-46
2,1,35,-46
2,1,36,-46
