RxNID,TXNID,PacketNo,RSSI
2,1,89,-48
2,1,90,-48
2,1,91,-48
2,1,92,-48
2,1,93,-48
0,1,89,-27
0,1,90,-27
0,1,91,-27
0,1,92,-27
0,1,93,-27
1,1,94,-61
1,1,95,-61
1,1,96,-61
1,1,97,-61
1,1,98,-61
2,1,94,-48
2,1,95,-48
2,1,96,-48
2,1,97,-48
2,1,98,-48
0,1,94,-27
0,1,95,-27
0,1,96,-27
0,1,97,-27
0,1,98,-27
1,1,99,-60
1,1,100,-61
1,1,101,-60
1,1,102,-60
1,1,103,-60
2,1,99,-48
2,1,100,-48
2,1,101,-48
2,1,102,-48
2,1,103,-48
0,1,99,-27
0,1,100,-27
0,1,101,-27
0,1,102,-27
0,1,103,-27
1,1,104,-60
1,1,105,-60
1,1,106,-60
1,1,107,-61
1,1,108,-60
2,1,104,-48
2,1,105,-48
2,1,106,-48
2,1,107,-48
2,1,108,-48
0,1,104,-27
0,1,105,-27
0,1,106,-27
0,1,107,-27
0,1,108,-27
1,1,109,-60
1,1,110,-61
1,1,111,-60
1,1,112,-60
1,1,113,-60
2,1,109,-48
2,1,110,-48
2,1,111,-48
2,1,112,-48
2,1,113,-48
0,1,109,-27
0,1,110,-27
0,1,111,-27
0,1,112,-27
0,1,113,-27
1,1,114,-61
1,1,115,-61
1,1,116,-61
1,1,117,-61
1,1,118,-61
2,1,114,-48
2,1,115,-48
2,1,116,-48
2,1,117,-48
2,1,118,-48
0,1,114,-27
0,1,115,-27
0,1,116,-27
0,1,117,-27
0,1,118,-27
1,1,119,-61
1,1,120,-62
1,1,121,-62
1,1,122,-61
1,1,123,-62
2,1,119,-48
2,1,120,-48
2,1,121,-48
2,1,122,-48
2,1,123,-48
0,1,119,-27
0,1,120,-27
0,1,121,-27
0,1,122,-27
0,1,123,-27
1,1,124,-62
1,1,125,-62
1,1,126,-62
1,1,127,-62
1,1,128,-62
2,1,124,-48
2,1,125,-48
2,1,126,-48
2,1,127,-48
2,1,128,-48
0,1,124,-27
0,1,125,-27
0,1,126,-27
0,1,127,-27
0,1,128,-27
