RxNID,TXNID,PacketNo,RSSI
1,1,239,-29
1,1,240,-29
1,1,241,-29
1,1,242,-29
1,1,243,-29
2,1,239,-38
2,1,240,-38
2,1,241,-38
2,1,242,-38
2,1,243,-38
0,1,240,-50
0,1,241,-50
0,1,242,-50
0,1,243,-50
0,1,239,-50
1,1,244,-29
1,1,245,-29
1,1,246,-29
1,1,247,-29
1,1,248,-29
2,1,244,-38
2,1,245,-38
2,1,246,-38
2,1,247,-38
2,1,248,-38
0,1,245,-50
0,1,246,-50
0,1,247,-50
0,1,248,-50
0,1,244,-50
1,1,249,-29
1,1,250,-29
1,1,251,-29
1,1,252,-29
1,1,253,-29
2,1,249,-38
2,1,250,-38
2,1,251,-38
2,1,252,-38
2,1,253,-38
0,1,250,-50
0,1,251,-50
0,1,252,-50
0,1,253,-50
0,1,249,-50
1,1,254,-29
1,1,255,-29
1,1,0,-29
1,1,1,-29
1,1,2,-29
2,1,254,-38
2,1,255,-38
2,1,0,-38
2,1,1,-38
2,1,2,-38
0,1,255,-50
0,1,0,-50
0,1,1,-50
0,1,2,-50
0,1,254,-50
1,1,3,-29
1,1,4,-29
1,1,5,-29
1,1,6,-29
1,1,7,-29
2,1,3,-38
2,1,4,-38
2,1,5,-38
2,1,6,-38
2,1,7,-38
0,1,4,-50
0,1,5,-50
0,1,6,-50
0,1,7,-50
0,1,3,-50
1,1,8,-29
1,1,9,-29
1,1,10,-29
1,1,11,-29
1,1,12,-29
2,1,8,-38
2,1,9,-38
2,1,10,-38
2,1,11,-38
2,1,12,-38
0,1,9,-50
0,1,10,-50
0,1,11,-50
0,1,12,-50
0,1,8,-50
1,1,13,-29
1,1,14,-29
1,1,15,-29
1,1,16,-29
1,1,17,-29
2,1,13,-38
2,1,14,-38
2,1,15,-38
2,1,16,-38
2,1,17,-38
0,1,14,-50
0,1,15,-50
0,1,16,-50
0,1,17,-50
0,1,13,-50
1,1,18,-29
1,1,19,-29
1,1,20,-29
1,1,21,-29
1,1,22,-29
2,1,18,-38
2,1,19,-38
2,1,20,-38
2,1,21,-38
2,1,22,-38
