RxNID,TXNID,PacketNo,RSSI
1,1,147,-45
1,1,148,-45
1,1,149,-45
1,1,150,-45
1,1,151,-45
2,1,148,-49
2,1,149,-50
2,1,150,-49
2,1,151,-49
2,1,147,-49
0,1,148,-26
0,1,149,-27
0,1,150,-26
0,1,151,-27
0,1,147,-27
1,1,152,-45
1,1,153,-45
1,1,154,-45
1,1,155,-45
1,1,156,-45
2,1,153,-49
2,1,154,-49
2,1,155,-49
2,1,156,-50
2,1,152,-49
0,1,153,-26
0,1,154,-26
0,1,155,-26
0,1,156,-27
0,1,152,-27
1,1,157,-45
1,1,158,-45
1,1,159,-45
1,1,160,-45
1,1,161,-45
2,1,158,-50
2,1,159,-50
2,1,160,-50
2,1,161,-50
2,1,157,-50
0,1,158,-26
0,1,159,-27
0,1,160,-27
0,1,161,-27
0,1,157,-26
1,1,162,-45
1,1,163,-45
1,1,164,-45
1,1,165,-45
1,1,166,-45
2,1,163,-50
2,1,164,-50
2,1,165,-49
2,1,166,-50
2,1,162,-50
0,1,163,-27
0,1,164,-27
0,1,165,-27
0,1,166,-27
0,1,162,-27
1,1,167,-45
1,1,168,-45
1,1,169,-45
1,1,170,-45
1,1,171,-45
2,1,168,-49
2,1,169,-49
2,1,170,-49
2,1,171,-49
2,1,167,-49
0,1,168,-26
0,1,169,-27
0,1,170,-27
0,1,171,-27
0,1,167,-26
1,1,172,-45
1,1,173,-45
1,1,174,-45
1,1,175,-45
1,1,176,-45
2,1,173,-49
2,1,174,-49
2,1,175,-49
2,1,176,-49
2,1,172,-49
0,1,173,-27
0,1,174,-26
0,1,175,-26
0,1,176,-26
0,1,172,-26
1,1,177,-45
1,1,178,-45
1,1,179,-45
1,1,180,-45
1,1,181,-45
2,1,178,-49
2,1,179,-49
2,1,180,-49
2,1,181,-49
2,1,177,-49
0,1,178,-26
0,1,179,-27
0,1,180,-26
0,1,181,-27
0,1,177,-26
1,1,182,-45
1,1,183,-45
1,1,184,-45
1,1,185,-45
1,1,186,-45
2,1,183,-50
2,1,184,-49
2,1,185,-49
2,1,186,-49
2,1,182,-49
