RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
0,1,160,-44,"[0, '-47', '-52', '-36']"
0,1,161,-43,"[0, '-47', '-52', '-36']"
0,1,162,-43,"[0, '-47', '-52', '-36']"
0,1,163,-43,"[0, '-47', '-52', '-36']"
1,1,164,-42,"['-45', '120', '-39', '-50']"
1,1,165,-42,"['-45', '120', '-39', '-50']"
1,1,166,-42,"['-45', '120', '-39', '-50']"
1,1,167,-42,"['-45', '120', '-39', '-50']"
1,1,168,-43,"['-45', '120', '-39', '-50']"
2,1,165,-55,"['-52', '-40', '0', '-53']"
2,1,166,-55,"['-52', '-40', '0', '-53']"
2,1,167,-55,"['-52', '-40', '0', '-53']"
2,1,168,-55,"['-52', '-40', '0', '-53']"
2,1,164,-55,"['-52', '-40', '0', '-53']"
3,1,165,-35,"['-34', '-50', '-52', '0']"
3,1,166,-35,"['-34', '-50', '-52', '0']"
3,1,167,-35,"['-34', '-50', '-52', '0']"
3,1,168,-35,"['-34', '-50', '-52', '0']"
3,1,164,-35,"['-34', '-50', '-52', '0']"
0,1,164,-42,"[0, '-47', '-52', '-36']"
0,1,165,-42,"[0, '-47', '-52', '-36']"
0,1,166,-42,"[0, '-47', '-52', '-36']"
0,1,167,-43,"[0, '-47', '-52', '-36']"
0,1,168,-42,"[0, '-47', '-52', '-36']"
1,1,169,-43,"['-45', '120', '-39', '-50']"
1,1,170,-42,"['-45', '120', '-39', '-50']"
1,1,171,-42,"['-45', '120', '-39', '-50']"
1,1,172,-43,"['-45', '120', '-39', '-50']"
1,1,173,-43,"['-45', '120', '-39', '-50']"
2,1,170,-54,"['-52', '-40', '0', '-54']"
2,1,171,-54,"['-52', '-40', '0', '-54']"
2,1,172,-54,"['-52', '-40', '0', '-54']"
2,1,173,-55,"['-52', '-40', '0', '-54']"
2,1,169,-54,"['-52', '-40', '0', '-54']"
3,1,170,-35,"['-35', '-50', '-52', '0']"
3,1,171,-35,"['-35', '-50', '-52', '0']"
3,1,172,-35,"['-35', '-50', '-52', '0']"
3,1,173,-35,"['-35', '-50', '-52', '0']"
3,1,169,-35,"['-35', '-50', '-52', '0']"
0,1,169,-43,"[0, '-47', '-52', '-36']"
0,1,170,-43,"[0, '-47', '-52', '-36']"
0,1,171,-43,"[0, '-47', '-52', '-36']"
0,1,172,-43,"[0, '-47', '-52', '-36']"
0,1,173,-43,"[0, '-47', '-52', '-36']"
1,1,174,-43,"['-46', '120', '-39', '-50']"
1,1,175,-42,"['-46', '120', '-39', '-50']"
1,1,176,-42,"['-46', '120', '-39', '-50']"
1,1,177,-42,"['-46', '120', '-39', '-50']"
1,1,178,-42,"['-46', '120', '-39', '-50']"
2,1,175,-54,"['-52', '-40', '0', '-54']"
2,1,176,-54,"['-52', '-40', '0', '-54']"
2,1,177,-54,"['-52', '-40', '0', '-54']"
2,1,178,-54,"['-52', '-40', '0', '-54']"
2,1,174,-54,"['-52', '-40', '0', '-54']"
3,1,175,-35,"['-35', '-50', '-53', '0']"
3,1,176,-35,"['-35', '-50', '-53', '0']"
3,1,177,-35,"['-35', '-50', '-53', '0']"
3,1,178,-35,"['-35', '-50', '-53', '0']"
3,1,174,-35,"['-35', '-50', '-53', '0']"
0,1,174,-45,"[0, '-48', '-52', '-36']"
0,1,175,-45,"[0, '-48', '-52', '-36']"
0,1,176,-44,"[0, '-48', '-52', '-36']"
0,1,177,-44,"[0, '-48', '-52', '-36']"
0,1,178,-44,"[0, '-48', '-52', '-36']"
1,1,179,-43,"['-47', '120', '-39', '-49']"
1,1,180,-43,"['-47', '120', '-39', '-49']"
1,1,181,-42,"['-47', '120', '-39', '-49']"
1,1,182,-43,"['-47', '120', '-39', '-49']"
1,1,183,-42,"['-47', '120', '-39', '-49']"
2,1,180,-55,"['-52', '-40', '0', '-54']"
2,1,181,-55,"['-52', '-40', '0', '-54']"
2,1,182,-54,"['-52', '-40', '0', '-54']"
2,1,183,-54,"['-52', '-40', '0', '-54']"
2,1,179,-55,"['-52', '-40', '0', '-54']"
3,1,180,-35,"['-35', '-50', '-52', '0']"
3,1,181,-35,"['-35', '-50', '-52', '0']"
3,1,182,-35,"['-35', '-50', '-52', '0']"
3,1,183,-35,"['-35', '-50', '-52', '0']"
